,Unnamed: 0,Plane,VG,VD,Location,Criteria,Height,Width,inpPotPath,inpChargePath,cmpPotPath,cmpChargePath,tarPotPath,tarChargePath,Pot Mean,Pot STD,Charge Mean,Charge STD
4409,4409,XY,0.425,0.05,9,abs_pot,3,12,cond_data/abs_pot/3x12/ml_test/NEGFXY_0.425_0.05_9_pot_1.txt,cond_data/abs_pot/3x12/ml_test/NEGFXY_0.425_0.05_9_charge_1.txt,cond_data/abs_pot/3x12/ml_test/NEGFXY_0.425_0.05_9_pot_2.txt,cond_data/abs_pot/3x12/ml_test/NEGFXY_0.425_0.05_9_charge_2.txt,cond_data/abs_pot/3x12/ml_test/NEGFXY_0.425_0.05_9_pot_5.txt,cond_data/abs_pot/3x12/ml_test/NEGFXY_0.425_0.05_9_charge_5.txt,-0.0705178398819946,0.0705929967227927,17.95882296518238,1.9404102133938324
9088,9088,XY,0.6125,0.6125,5,abs_pot,3,12,cond_data/abs_pot/3x12/ml_test/NEGFXY_0.6125_0.6125_5_pot_1.txt,cond_data/abs_pot/3x12/ml_test/NEGFXY_0.6125_0.6125_5_charge_1.txt,cond_data/abs_pot/3x12/ml_test/NEGFXY_0.6125_0.6125_5_pot_3.txt,cond_data/abs_pot/3x12/ml_test/NEGFXY_0.6125_0.6125_5_charge_3.txt,cond_data/abs_pot/3x12/ml_test/NEGFXY_0.6125_0.6125_5_pot_6.txt,cond_data/abs_pot/3x12/ml_test/NEGFXY_0.6125_0.6125_5_charge_6.txt,-0.2626802993274965,0.1889492497954329,16.672346682006356,1.5663710980548382
3493,3493,XY,0.33125,0.14375,8,abs_pot,3,12,cond_data/abs_pot/3x12/ml_test/NEGFXY_0.33125_0.14375_8_pot_1.txt,cond_data/abs_pot/3x12/ml_test/NEGFXY_0.33125_0.14375_8_charge_1.txt,cond_data/abs_pot/3x12/ml_test/NEGFXY_0.33125_0.14375_8_pot_2.txt,cond_data/abs_pot/3x12/ml_test/NEGFXY_0.33125_0.14375_8_charge_2.txt,cond_data/abs_pot/3x12/ml_test/NEGFXY_0.33125_0.14375_8_pot_4.txt,cond_data/abs_pot/3x12/ml_test/NEGFXY_0.33125_0.14375_8_charge_4.txt,-0.0364767111651694,0.1221416550285237,16.98413053584353,2.269885925043297
6537,6537,XY,0.51875,0.8,10,abs_pot,3,12,cond_data/abs_pot/3x12/ml_test/NEGFXY_0.51875_0.8_10_pot_1.txt,cond_data/abs_pot/3x12/ml_test/NEGFXY_0.51875_0.8_10_charge_1.txt,cond_data/abs_pot/3x12/ml_test/NEGFXY_0.51875_0.8_10_pot_2.txt,cond_data/abs_pot/3x12/ml_test/NEGFXY_0.51875_0.8_10_charge_2.txt,cond_data/abs_pot/3x12/ml_test/NEGFXY_0.51875_0.8_10_pot_4.txt,cond_data/abs_pot/3x12/ml_test/NEGFXY_0.51875_0.8_10_charge_4.txt,-0.2417993841517573,0.2582109946978977,18.04459488139153,1.9016334864264437
14472,14472,XY,0.2375,0.8,6,abs_pot,3,12,cond_data/abs_pot/3x12/ml_test/NEGFXY_0.2375_0.8_6_pot_1.txt,cond_data/abs_pot/3x12/ml_test/NEGFXY_0.2375_0.8_6_charge_1.txt,cond_data/abs_pot/3x12/ml_test/NEGFXY_0.2375_0.8_6_pot_2.txt,cond_data/abs_pot/3x12/ml_test/NEGFXY_0.2375_0.8_6_charge_2.txt,cond_data/abs_pot/3x12/ml_test/NEGFXY_0.2375_0.8_6_pot_4.txt,cond_data/abs_pot/3x12/ml_test/NEGFXY_0.2375_0.8_6_charge_4.txt,-0.0585488537397538,0.2886059575913597,14.969708111637864,2.6458095783035764
838,838,XY,0.33125,0.425,10,abs_pot,3,12,cond_data/abs_pot/3x12/ml_test/NEGFXY_0.33125_0.425_10_pot_1.txt,cond_data/abs_pot/3x12/ml_test/NEGFXY_0.33125_0.425_10_charge_1.txt,cond_data/abs_pot/3x12/ml_test/NEGFXY_0.33125_0.425_10_pot_2.txt,cond_data/abs_pot/3x12/ml_test/NEGFXY_0.33125_0.425_10_charge_2.txt,cond_data/abs_pot/3x12/ml_test/NEGFXY_0.33125_0.425_10_pot_4.txt,cond_data/abs_pot/3x12/ml_test/NEGFXY_0.33125_0.425_10_charge_4.txt,-0.0831187567089202,0.1908991726197062,17.04894657565599,2.302123177054308
4444,4444,XY,0.425,0.8,15,abs_pot,3,12,cond_data/abs_pot/3x12/ml_test/NEGFXY_0.425_0.8_15_pot_1.txt,cond_data/abs_pot/3x12/ml_test/NEGFXY_0.425_0.8_15_charge_1.txt,cond_data/abs_pot/3x12/ml_test/NEGFXY_0.425_0.8_15_pot_2.txt,cond_data/abs_pot/3x12/ml_test/NEGFXY_0.425_0.8_15_charge_2.txt,cond_data/abs_pot/3x12/ml_test/NEGFXY_0.425_0.8_15_pot_4.txt,cond_data/abs_pot/3x12/ml_test/NEGFXY_0.425_0.8_15_charge_4.txt,-0.1945082343484329,0.2664962786587129,17.559533063777575,2.0505466708593785
12809,12809,XY,0.14375,0.14375,9,abs_pot,3,12,cond_data/abs_pot/3x12/ml_test/NEGFXY_0.14375_0.14375_9_pot_1.txt,cond_data/abs_pot/3x12/ml_test/NEGFXY_0.14375_0.14375_9_charge_1.txt,cond_data/abs_pot/3x12/ml_test/NEGFXY_0.14375_0.14375_9_pot_2.txt,cond_data/abs_pot/3x12/ml_test/NEGFXY_0.14375_0.14375_9_charge_2.txt,cond_data/abs_pot/3x12/ml_test/NEGFXY_0.14375_0.14375_9_pot_4.txt,cond_data/abs_pot/3x12/ml_test/NEGFXY_0.14375_0.14375_9_charge_4.txt,0.0843111933060525,0.1816270476837063,15.661734055972516,3.093139453999578
4169,4169,XY,0.51875,0.8,17,abs_pot,3,12,cond_data/abs_pot/3x12/ml_test/NEGFXY_0.51875_0.8_17_pot_1.txt,cond_data/abs_pot/3x12/ml_test/NEGFXY_0.51875_0.8_17_charge_1.txt,cond_data/abs_pot/3x12/ml_test/NEGFXY_0.51875_0.8_17_pot_2.txt,cond_data/abs_pot/3x12/ml_test/NEGFXY_0.51875_0.8_17_charge_2.txt,cond_data/abs_pot/3x12/ml_test/NEGFXY_0.51875_0.8_17_pot_4.txt,cond_data/abs_pot/3x12/ml_test/NEGFXY_0.51875_0.8_17_charge_4.txt,-0.2431288108742545,0.2540990399400024,17.764089691154943,1.8993255624918504
4659,4659,XY,0.33125,0.2375,15,abs_pot,3,12,cond_data/abs_pot/3x12/ml_test/NEGFXY_0.33125_0.2375_15_pot_1.txt,cond_data/abs_pot/3x12/ml_test/NEGFXY_0.33125_0.2375_15_charge_1.txt,cond_data/abs_pot/3x12/ml_test/NEGFXY_0.33125_0.2375_15_pot_2.txt,cond_data/abs_pot/3x12/ml_test/NEGFXY_0.33125_0.2375_15_charge_2.txt,cond_data/abs_pot/3x12/ml_test/NEGFXY_0.33125_0.2375_15_pot_4.txt,cond_data/abs_pot/3x12/ml_test/NEGFXY_0.33125_0.2375_15_charge_4.txt,-0.0521289478371526,0.1423624722485648,17.180101826355738,2.287592343049753
